PricingKey,ProductKey,ChannelKey,EffectiveDateKey,ChannelMRP,TransferPrice,MarginSpreadAmount,MarginSpreadPct,SourceSystem,ETL_LoadedAt
131,1010,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
132,1009,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
133,1008,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
134,1011,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
135,1006,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
136,1007,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
137,1016,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
138,1015,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
139,1014,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
140,1017,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
141,1012,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
142,1013,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
143,1022,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
144,1021,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
145,1020,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
146,1023,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
147,1018,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
148,1019,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
149,1028,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
150,1027,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
151,1026,7,20220501,1695.00,395.00,1300.00,329.11,May 2022 Pricing Master,2026-09-07T07:48:47.421676
