InventoryKey,SnapshotDateKey,ProductKey,StockOnHandQuantity,ReorderThreshold,StockValueAtCost,StockValueAtMRP,SourceSystem,ETL_LoadedAt
164,20220601,3197,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
165,20220601,3204,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
166,20220601,3205,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
167,20220601,3208,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
168,20220601,3213,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
169,20220601,3220,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
170,20220601,3222,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
171,20220601,3231,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
172,20220601,3232,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
173,20220601,3236,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
174,20220601,3237,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
175,20220601,3240,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
176,20220601,3245,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
177,20220601,3249,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
178,20220601,3251,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
179,20220601,3252,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
180,20220601,3253,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
181,20220601,3255,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
182,20220601,3260,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
183,20220601,3265,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
184,20220601,3266,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
185,20220601,3268,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
186,20220601,3274,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
187,20220601,3275,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
188,20220601,3281,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
189,20220601,3283,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
190,20220601,3291,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
191,20220601,3305,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
192,20220601,3310,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
193,20220601,3311,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
194,20220601,3314,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
195,20220601,3330,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
196,20220601,3331,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
197,20220601,3337,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
198,20220601,3349,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
199,20220601,3353,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
200,20220601,3355,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
201,20220601,3365,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
202,20220601,3369,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
203,20220601,3371,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
204,20220601,3375,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
205,20220601,3376,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
206,20220601,3379,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
207,20220601,3381,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
208,20220601,3388,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
209,20220601,3389,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
210,20220601,3391,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
211,20220601,3397,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
212,20220601,3398,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
213,20220601,3401,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
214,20220601,3402,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
215,20220601,3405,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
216,20220601,3417,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
217,20220601,3420,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
218,20220601,1901,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
219,20220601,1909,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
220,20220601,1912,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
221,20220601,1914,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
222,20220601,1918,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
223,20220601,1923,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
224,20220601,1924,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
225,20220601,1925,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
226,20220601,1929,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
227,20220601,1935,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
228,20220601,1936,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
229,20220601,1941,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
230,20220601,1945,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
231,20220601,1946,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
232,20220601,1948,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
233,20220601,1960,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
234,20220601,1961,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
235,20220601,1963,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
236,20220601,1967,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
237,20220601,1968,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
238,20220601,1970,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
239,20220601,1972,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
240,20220601,1976,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
241,20220601,1980,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
242,20220601,1982,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
243,20220601,1983,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
244,20220601,1989,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
245,20220601,1991,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
246,20220601,1993,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
247,20220601,1997,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
248,20220601,2001,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
249,20220601,2002,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
250,20220601,2004,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
251,20220601,2007,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
252,20220601,2016,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
253,20220601,2018,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
254,20220601,2022,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
255,20220601,2032,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
256,20220601,2034,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
257,20220601,2035,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
258,20220601,2036,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
259,20220601,2043,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
260,20220601,2045,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
261,20220601,2048,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
262,20220601,2049,0,10,0.00,0.00,Central Warehouse,2026-09-07T07:48:45.135810
