ProductKey,SKU,ProductName,Category,BaseMRP,TransferPrice,AmazonMRP,MyntraMRP,AjioMRP,FlipkartMRP,LimeroadMRP,PaytmMRP,SnapdealMRP,MaxCrossChannelSpreadAmount,ArbitrageSpreadPct
626,OS174_3155_XL,KURTA - OS174_3155 (BREEZE-4),KURTA,2038.00,505.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,2195.00,0.00,0E-15
483,OS151_S,KURTA - OS151 (MIX),KURTA,1995.00,425.00,1895.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,100.00,5.280000000000000
85,OS1056_M,KURTA SET - OS1056 (SURMAYA),KURTA SET,5395.00,1295.00,5395.00,5395.00,5395.00,5395.00,5395.00,5395.00,5395.00,0.00,0E-15
752,OS196_1371_S,KURTA - OS196_1371 (MIX),KURTA,2178.00,538.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
726,OS191_5052_M,KURTA - OS191_5052 (COLORS-8),KURTA,1778.00,438.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,1895.00,0.00,0E-15
1316,OSKR266_S,NILL - OSKR266 (NILL),NILL,1995.00,425.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,1995.00,0.00,0E-15
775,OS200_5041_L,KURTA - OS200_5041 (COLORS-7),KURTA,1538.00,381.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,1595.00,0.00,0E-15
603,OS171_1096_2XL,KURTA - OS171_1096 (MIX),KURTA,2238.00,552.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,2395.00,0.00,0E-15
62,OS1041_S,KURTA SET - OS1041 (MIX),KURTA SET,0.00,0.00,,2895.00,,,,,,0.00,0E-15
789,OS202_3146_S,KURTA - OS202_3146 (MOMENTS),KURTA,2178.00,538.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,2295.00,0.00,0E-15
