Country,State,City,Region,TotalOrders,TotalUnitsSold,GrossRevenue,NetRevenue,GlobalRevenueSharePct
IN,TAMIL NADU,"PONNAMARAVATHI, PUDUKOTTAI DISTRICT",India,1,0,0.00,0.00,0.000000
IN,MAHARASHTRA,KOLIWALI KALYAN WEST,India,1,0,0.00,0.00,0.000000
IN,KARNATAKA,MANDYA DISTIC,India,1,1,1648.00,1648.00,0.000000
IN,KERALA,NENMENIKKARA,India,1,2,1920.00,1920.00,0.000000
IN,TAMIL NADU,PANPOLI,India,1,1,517.00,517.00,0.000000
IN,KARNATAKA,"NAVILE , SHIVAMOGGA",India,1,1,544.00,544.00,0.000000
IN,WEST BENGAL,KOLKATA-700064,India,1,1,721.00,721.00,0.000000
IN,GOA,"BETIM,  BARDEZ",India,1,1,702.00,702.00,0.000000
IN,ANDHRA PRADESH,MUNDLAMURU,India,1,1,1186.00,1186.00,0.000000
IN,ANDAMAN & NICOBAR,"PORT BLAIR , SOUTH ANDAMAN",India,1,1,518.00,518.00,0.000000
IN,ANDHRA PRADESH,RAYABHUPALAPATNAM,India,1,1,1258.00,1258.00,0.000000
IN,GOA,MARGAO SALCETE,India,1,1,771.00,771.00,0.000000
IN,UTTAR PRADESH,JALALABAD SHAMLI DISTRICT,India,1,1,591.00,591.00,0.000000
IN,CHHATTISGARH,JAITPURI PATELPARA,India,1,1,916.00,916.00,0.000000
IN,MAHARASHTRA,KURDUWADI,India,1,1,435.00,435.00,0.000000
IN,MADHYA PRADESH,AMLAI,India,1,1,690.00,690.00,0.000000
IN,UTTARAKHAND,"MASI,ALMORA",India,1,1,486.00,486.00,0.000000
IN,WEST BENGAL,BERHAMPORE,India,31,30,19395.00,17588.00,0.010000
IN,TELANGANA,DHARMAPURI,India,8,7,6837.52,6028.00,0.000000
IN,KERALA,KUTTEMPEROOR,India,1,1,357.00,357.00,0.000000
IN,MAHARASHTRA,KAMOTHE,India,2,3,1738.00,1738.00,0.000000
IN,TELANGANA,PATANCHERU,India,4,3,3210.00,3210.00,0.000000
IN,MAHARASHTRA,"AWALPUR, DIST CHANDRAPUR",India,1,0,368.57,0.00,0.000000
IN,DELHI,NEW USMANPUR 1 PUSTA,India,1,1,692.00,692.00,0.000000
IN,UTTAR PRADESH,LAKHIMPUR,India,38,34,21095.04,19067.00,0.010000
IN,ASSAM,MORANHAT,India,6,5,3475.95,3195.00,0.000000
IN,MAHARASHTRA,FORT.MUMBAI,India,4,5,1986.00,1986.00,0.000000
IN,WEST BENGAL,TARAKESWAR,India,5,3,2598.00,2218.00,0.000000
IN,MAHARASHTRA,SANGLI,India,13,15,9990.00,9990.00,0.000000
UNITED KINGDOM,OH,COLUMBUS,Europe,247,746,232296.73,222855.65,0.110000
IN,WEST BENGAL,SALBANI,India,5,7,2318.00,2318.00,0.000000
IN,KARNATAKA,MUDIGERE,India,8,8,5673.00,5673.00,0.000000
IN,ANDHRA PRADESH,KOTA,India,4,4,2385.00,2385.00,0.000000
IN,UTTARAKHAND,GOPESHWAR,India,11,7,5038.00,5038.00,0.000000
IN,TAMIL NADU,ATTUR,India,9,8,6018.00,6018.00,0.000000
IN,CHHATTISGARH,MASTURI,India,1,1,1127.00,1127.00,0.000000
IN,JHARKHAND,PAKAUR,India,11,12,7408.00,7408.00,0.000000
IN,KARNATAKA,HOLEHONNUR,India,3,3,3417.00,3417.00,0.000000
